Appl_Type~Appl_No~Product_No~Patent_No~Patent_Expire_Date_Text~Drug_Substance_Flag~Drug_Product_Flag~Patent_Use_Code~Delist_Flag
N~020785~003~6908432~Aug 28, 2018~~~U-371~
N~020785~003~7141018~Oct 23, 2020~~~U-733~
N~020785~003~7141018~Oct 23, 2020~~~U-732~
N~020785~003~7141018~Oct 23, 2020~~~U-731~
N~020785~003~7141018~Oct 23, 2020~~~U-371~
N~020785~003~7435745~Nov 3, 2017~~~U-899~
N~020785~003~7874984~Aug 28, 2018~~~U-371~
N~020785~003~7874984~Aug 28, 2018~~~U-733~
N~020785~003~7874984~Aug 28, 2018~~~U-732~
N~020785~003~7874984~Aug 28, 2018~~~U-1109~
N~020785~003~7874984~Aug 28, 2018~~~U-442~
N~020785~003~7959566~Oct 23, 2020~~~U-1155~
N~020785~003~8204763~Aug 28, 2018~~~U-1249~
N~020785~003~8315886~Oct 23, 2020~~~U-1249~
N~020785~004~6045501~Aug 28, 2018~~~U-731~
N~020785~004~6315720~Oct 23, 2020~~~U-731~
N~020785~004~6561976~Aug 28, 2018~~~U-731~
N~020785~004~6561977~Oct 23, 2020~~~U-731~
N~020785~004~6755784~Oct 23, 2020~~~U-731~
N~020785~004~6869399~Oct 23, 2020~~~U-731~
N~020785~004~6908432~Aug 28, 2018~~~U-731~
N~020785~004~7141018~Oct 23, 2020~~~U-731~
N~020785~004~7435745~Nov 3, 2017~~~U-899~
N~020785~004~7874984~Aug 28, 2018~~~U-371~
N~020785~004~7874984~Aug 28, 2018~~~U-1109~
N~020785~004~7874984~Aug 28, 2018~~~U-733~
N~020785~004~7874984~Aug 28, 2018~~~U-732~
N~020785~004~7874984~Aug 28, 2018~~~U-442~
N~020785~004~7959566~Oct 23, 2020~~~U-1155~
N~020785~004~8204763~Aug 28, 2018~~~U-1249~
N~020785~004~8315886~Oct 23, 2020~~~U-1249~
N~020786~002~6037353~Mar 14, 2017~~~U-1159~
N~020791~001~6348210~Nov 10, 2019~~~U-440~
N~020796~001~6599530~Sep 14, 2018~~Y~U-219~
N~020802~001~5972916~Jul 14, 2017~~~U-296~
N~020815~001~6458811~Mar 10, 2017~Y~Y~U-825~
N~020815~001~6894064~Mar 10, 2017~~Y~U-657~
N~020818~001~6294197~Jun 18, 2017~~~U-3~
N~020818~002~6294197~Jun 18, 2017~~~U-3~
N~020818~003~6294197~Jun 18, 2017~~~U-3~
N~020818~004~6294197~Jun 18, 2017~~~U-3~
N~020818~005~6294197~Jun 18, 2017~~~U-3~
N~020825~001~6245766~Dec 18, 2018~~~U-601~
N~020825~002~6245766~Dec 18, 2018~~~U-601~
N~020825~003~6245766~Dec 18, 2018~~~U-601~
N~020825~004~6245766~Dec 18, 2018~~~U-601~
N~020831~001~6887459~Nov 28, 2020~~~U-762~
N~020832~002~7422388~Apr 25, 2027~~Y~U-1397~
N~020832~005~7422388~Apr 25, 2027~~Y~U-1397~
N~020832~007~7422388~Apr 25, 2027~~Y~U-1397~
N~020835~003~5994329~Jul 17, 2018~~~U-353~
N~020835~003~6015801~Jul 17, 2018~~~U-353~
N~020835~003~6432932~Jul 17, 2018~~~U-595~
N~020835~005~7192938~May 6, 2023~~~U-353~
N~020835~005~7718634~May 6, 2023~~~U-662~
N~020844~001~7125560~Mar 1, 2019~~~U-766~
N~020844~002~7125560~Mar 1, 2019~~~U-766~
N~020844~003~7125560~Mar 1, 2019~~~U-766~
N~020845~002~5732693~Dec 13, 2016~~Y~U-1230~
N~020845~002~5752504~Dec 13, 2016~~Y~U-1230~
N~020845~002~8282966~Jun 30, 2029~~~U-1286~
N~020845~002~8291904~Jan 6, 2031~~Y~U-1226~
N~020845~002~8293284~Jun 30, 2029~~~U-1286~
N~020845~002~8431163~Jun 30, 2029~~~U-1286~
N~020845~003~5732693~Dec 13, 2016~~Y~U-1230~
N~020845~003~5752504~Dec 13, 2016~~Y~U-1230~
N~020845~003~8282966~Jun 30, 2029~~~U-1286~
N~020845~003~8291904~Jan 6, 2031~~Y~U-1226~
N~020845~003~8293284~Jun 30, 2029~~~U-1286~
N~020845~003~8431163~Jun 30, 2029~~~U-1286~
N~020850~002~7998953~Jun 6, 2020~~~U-1177~
N~020850~002~8003679~Oct 6, 2022~~~U-1176~
N~020872~005~6037353~Mar 14, 2017~~~U-1160~
N~020872~006~6037353~Mar 14, 2017~~~U-1160~
N~020872~007~6037353~Mar 14, 2017~~~U-1160~
N~020872~008~6037353~Mar 14, 2017~~~U-1160~
N~020872~009~6037353~Mar 14, 2017~~~U-1160~
N~020872~010~6037353~Mar 14, 2017~~~U-1160~
N~020884~001~6015577~Jan 18, 2017~~~U-302~
N~020885~001~6121291~Mar 17, 2017~~~U-431~
N~020885~001~6121291~Mar 17, 2017~~~U-286~
N~020885~002~6121291~Mar 17, 2017~~~U-431~
N~020885~002~6121291~Mar 17, 2017~~~U-286~
N~020885~003~6121291~Mar 17, 2017~~~U-431~
N~020885~003~6121291~Mar 17, 2017~~~U-286~
N~020885~004~6121291~Mar 17, 2017~~~U-431~
N~020885~004~6121291~Mar 17, 2017~~~U-286~
N~020886~001~5932622~Aug 3, 2016~~~U-562~
N~020895~001~6469012~Oct 22, 2019~~~U-155~
N~020895~002~6469012~Oct 22, 2019~~~U-155~
N~020895~003~6469012~Oct 22, 2019~~~U-155~
N~020903~001~6172046~Sep 21, 2017~~~U-1014~
N~020903~001~6172046~Sep 21, 2017~~~U-377~
N~020903~001~6177074~Nov 1, 2016~~~U-1013~
N~020903~001~6177074~Nov 1, 2016~~~U-454~
N~020903~001~6461605~Nov 1, 2016~~~U-1013~
N~020903~001~6461605~Nov 1, 2016~~~U-478~
N~020903~001~6472373~Sep 21, 2017~~~U-1014~
N~020903~001~6472373~Sep 21, 2017~~~U-479~
N~020903~001~6524570~Nov 1, 2016~~~U-1013~
N~020903~001~6524570~Nov 1, 2016~~~U-499~
N~020903~002~6172046~Sep 21, 2017~~~U-1014~
N~020903~002~6172046~Sep 21, 2017~~~U-377~
N~020903~002~6177074~Nov 1, 2016~~~U-1013~
N~020903~002~6177074~Nov 1, 2016~~~U-454~
N~020903~002~6461605~Nov 1, 2016~~~U-1013~
N~020903~002~6461605~Nov 1, 2016~~~U-478~
N~020903~002~6472373~Sep 21, 2017~~~U-1014~
N~020903~002~6472373~Sep 21, 2017~~~U-479~
N~020903~002~6524570~Nov 1, 2016~~~U-1013~
N~020903~002~6524570~Nov 1, 2016~~~U-499~
